K,ExecTime,ConvergedIn,Alpha,RepulsionStrength,Inertia,DBI
2,3.572173,76,0.50,0.200,12832262324224.000000,5.039549
4,17.689493,533,0.50,0.200,12285604003840.000000,4.496649
8,12.601421,527,0.50,0.200,11682176827392.000000,3.505665
16,173.595441,6758,0.50,0.200,11021425049600.000000,3.004390
32,46.042301,4334,0.50,0.200,10305097695232.000000,2.633146
64,93.225833,10000,0.50,0.200,9632910147584.000000,2.610105
128,73.282404,5974,0.50,0.200,8962838626304.000000,2.421990
256,76.319318,3946,0.50,0.200,8307034554368.000000,2.317716
512,116.505497,3624,0.50,0.200,7676253700096.000000,2.264915
1024,143.821041,2388,0.50,0.200,7065098518528.000000,2.214597
